Sr. No.,Bank Code,Bank Name,MICR,IFSC,IIN,ACH CR,ACH DR,APBS,DSA,Bank Type
345,GSBL,THE GOA STATE CO-OPERATIVE BANK LTD,403415055,YESB0GSCB02,607238,Yes,Yes,Yes,YES BANK,Indirect
346,GSBX,GANDHIBAG SAHAKARI BANK LTD NAGPUR,440360000,YESB0GSB001,NA,Yes,Yes,Yes,YES BANK,Indirect
347,GSCB,THE GUJARAT STATE CO-OP BANK LTD,380124002,GSCB0000001,607689,Yes,Yes,Yes,THE GUJARAT STATE CO-OP BANK LTD,Direct
348,GSSX,GUARDIAN SOUHARDA SAHAKARI BANK NIYAMITA,560234251,SVCB0002001,607127,Yes,Yes,Yes,SVC CO OP BANK LTD,Indirect
349,GTCX,GEORGE TOWN CO-OPERATIVE BANK LTD.,600458001,NA,NA,Yes,Yes,Yes,TAMILNADU STATE APEX CO OP BANK LTD,Indirect
350,GUBX,GODAVARI URBAN CO OP BANK LTD VAZIRABAD,431849102,YESB0GUCB01,608130,Yes,,Yes,HDFC BANK LTD,Indirect
351,GUCX,THE GOA URBAN CO-OPERATIVE BANK LTD.,403416002,HDFC0CGUB02,607277,Yes,Yes,Yes,HDFC BANK LTD,Indirect
352,GUNX,THE GUNTUR CO-OPERATIVE URBAN BANK LTD,520801102,UTIB0SGUB02,508997,Yes,,Yes,AXIS BANK,Indirect
353,GUOX,THE GURGAON CENTRAL COOP BANK LTD,110024252,UTIB0SGCB01,607735,Yes,Yes,Yes,AXIS BANK,Indirect
354,HAMX,HAMIRPUR DISTRICT CO OPERATIVE BANK LTD,210818202,ICIC00HDCCB,607871,Yes,Yes,Yes,ICICI BANK LTD,Indirect
355,HANX,HANUMANGARH KENDRIYA SAHAKARI BANK LTD,335807000,RSCB0038099,508695,Yes,Yes,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
356,HCBL,THE HINDUSTHAN CO-OPERATIVE BANK LTD,400801002,SVCB0001002,607159,Yes,Yes,Yes,SVC CO OP BANK LTD,Indirect
357,HCBX,THE HASTI CO-OP. BANK LTD.,424736001,HCBL0000001,607621,Yes,Yes,Yes,THE HASTI CO-OP. BANK LTD.,Direct
358,HDCL,HARDOI DISTRICT CO OPERATIVE BANK LTD,241801001,ICIC00HDCBL,NA,Yes,,Yes,ICICI BANK LTD,Indirect
359,HDCX,THE HYDERABAD DISTRICT COOPERATIVE BANK LTD,500144002,APBL0015022,607500,Yes,Yes,Yes,TELANGANA STATE CO OP APEX BANK LTD,Indirect
360,HDFC,HDFC BANK LTD,400240001,HDFC0999999,607152,Yes,Yes,Yes,HDFC BANK LTD,Direct
361,HGBX,SARVA HARYANA GRAMIN BANK,110696001,PUNB0HGB001,607139,Yes,Yes,Yes,PUNJAB NATIONAL BANK,Indirect
362,HISX,THE HISAR CENTRAL CO-OPERATIVE BANK LTD HISAR,125816052,UTIB0HCCB01,607865,Yes,Yes,Yes,AXIS BANK,Indirect
363,HMBX,HIMACHAL GRAMIN BANK,173828002,PUNB0HPGB04,607140,Yes,Yes,Yes,PUNJAB NATIONAL BANK,Indirect
364,HMNX,HIMATNAGAR NAGARIK SAHAKARI BANK LTD,383804001,IBKL0218HNS,990076,Yes,Yes,Yes,IDBI BANK,Indirect
365,HOCX,THE HOSHIARPUR CENTRAL CO-OPERATIVE BANK LTD,146820002,UTIB0SHSP01,607638,Yes,Yes,Yes,AXIS BANK,Indirect
366,HOOX,HOOGHLY DISTRICT CENTRAL CO-OPERATIVE BANK LTD,700093261,WBSC0HDCB01,607174,Yes,Yes,Yes,THE WEST BENGAL STATE CO OP BANK LTD,Indirect
367,HPCX,SHREE PARSWANATH CO-OPERATIVE BANK LTD,360475002,HDFC0CSPCBK,990149,Yes,Yes,Yes,RAJKOT NAGARIK SAHAKARI BANK LTD,Indirect
368,HPSX,THE HIMACHAL PRADESH STATE CO-OPERATIVE BANK LTD,438311002,HPSC0000001,508598,Yes,Yes,Yes,THE HIMACHAL PRADESH STATE CO-OPERATIVE BANK LTD,Direct
369,HSBC,THE HONGKONG & SHANGHAI BANKING CORPORATION LTD,400039002,HSBC0RTGSMI,NA,Yes,Yes,,THE HONGKONG & SHANGHAI BANKING CORPORATION LTD,Direct
370,HSBM,HAVELI SAHAKARI BANK MARYADIT MOSHI,411945002,YESB0HSBLM0,508550,Yes,Yes,Yes,YES BANK,Indirect
371,HSCX,THE HARYANA STATE CO-OPERATIVE APEX BANK LTD.,NA,HARC0000001,607647,Yes,Yes,Yes,THE HARYANA STATE CO-OPERATIVE APEX BANK LTD.,Direct
372,HSDX,THE HASSAN DISTRICT CO-OPERATIVE CENTRAL BANK LTD,NA,UTIB0SHDCCB,607133,Yes,Yes,Yes,YES BANK,Indirect
373,HSSX,THE HINDUSTAN SHIPYARD STAFF COOP BANK LTD,530875002,YESB0HSCB01,608017,Yes,,Yes,YES BANK,Indirect
374,HUBX,HUBLI URBAN CO-OP BANK LIMITED,580211251,SVCB0033002,NA,Yes,,Yes,SVC CO OP BANK LTD,Indirect
375,HUCB,HADAGALI URBAN COOP BANK LTD HADAGALI,583913501,UTIB0SHUCBH,608406,Yes,,Yes,AXIS BANK,Indirect
376,HUCH,HANAMASAGAR URBAN CO OP BANK LTD HANAMASAGAR,583858501,UTIB0SHUCBL,508577,Yes,,Yes,AXIS BANK,Indirect
377,HUCX,HISSAR URBAN COOPERATIVE BANK LIMITED,125816058,HDFC0CHUCBH,607586,Yes,,Yes,HDFC BANK LTD,Indirect
378,HUTX,HUTATMA SAHAKARI BANK LTD,400836002,HUSB0000001,508683,Yes,Yes,Yes,HUTATMA SAHAKARI BANK LTD,Direct
379,IBKL,IDBI BANK,400259001,IBKL0009998,607095,Yes,Yes,Yes,IDBI BANK,Direct
380,ICBL,THE INDUSTRIAL CO-OPERATIVE BANK LTD,781114002,IBKL0115ICB,990065,Yes,Yes,Yes,IDBI BANK,Indirect
381,ICHX,THE ICHALKARANJI MERCHANTS COOP BANK,416837201,HDFC0CIMB01,990078,Yes,Yes,Yes,HDFC BANK LTD,Indirect
382,ICIC,ICICI BANK LTD,400229000,ICIC0TREA00,508534,Yes,Yes,Yes,ICICI BANK LTD,Direct
383,ICMX,INDORE CLOTH MARKET CO-OP BANK LTD,452278002,YESB0ICMB02,NA,Yes,Yes,Yes,YES BANK,Indirect
384,IDFB,IDFC BANK LIMITED,400751001,IDFB0000001,608117,Yes,Yes,Yes,IDFC BANK LIMITED,Direct
385,IDIB,INDIAN BANK,600019001,IDIB000C080,607105,Yes,Yes,Yes,INDIAN BANK,Direct
386,ILCB,ILKAL COOPERATIVE BANK LTD,587855501,UTIB0SICB25,607282,Yes,,Yes,AXIS BANK,Indirect
387,IMPX,THE IMPHAL URBAN CO OPERATIVE BANK,795803002,UTIB0SIUCB1,607252,Yes,Yes,Yes,AXIS BANK,Indirect
388,INCX,INDAPUR URBAN CO-OP BANK LTD,NA,YESB0ICBL01,508633,Yes,,Yes,YES BANK,Indirect
389,INDB,INDUSIND BANK,400234001,INDB0000098,607189,Yes,Yes,Yes,INDUSIND BANK,Direct
390,IOBA,INDIAN OVERSEAS BANK,600020001,IOBA0009016,508541,Yes,Yes,Yes,INDIAN OVERSEAS BANK,Direct
391,IPCX,INDORE PREMIER CO-OPERATIVE BANK LTD INDORE,452280001,CBIN0MPDCAO,607729,Yes,Yes,Yes,ICICI BANK LTD,Indirect
392,IPPB,INDIA POST PAYMENTS BANK LIMITED,600768002,IPOS0000001,508528,Yes,,Yes,INDIA POST PAYMENTS BANK LIMITED,Direct
393,IPSX,INDORE PARASPAR SAHAKARI BANK LTD,452279002,ICIC00INPRS,508566,Yes,Yes,Yes,ICICI BANK LTD,Indirect
394,ISBX,INDRAPRASTHA SEHKARI BANK LTD,110255002,UTIB0SIPSB1,607728,Yes,Yes,Yes,AXIS BANK,Indirect
395,ISMX,INDORE SWAYAM MAHILA CO OP BANK LTD,NA,HDFC0CISWAM,608192,Yes,Yes,Yes,BANK OF INDIA,Indirect
396,ITCX,IRINJALAKUDA TOWN CO-OPERATIVE BANK LTD,680814202,HDFC0CITC01,607256,Yes,Yes,Yes,ICICI BANK LTD,Indirect
397,ITDX,THE INCOME TAX DEPT COOP BANK LTD MUMBAI,NA,IBKL0100ITB,508975,Yes,Yes,Yes,IDBI BANK,Indirect
398,IUCB,INTEGRAL URBAN CO-OP BANK LTD,302456000,HDFC0CIUCBL,607321,Yes,Yes,Yes,HDFC BANK LTD,Indirect
399,IUCX,IMPERIAL URBAN CO-OPERATIVE BANK,224802002,YESB0IUCB01,NA,Yes,,Yes,YES BANK,Indirect
400,JACX,JAIN CO-OPERATIVE BANK LIMITED,110329002,HDFC0CJCBLD,607737,Yes,Yes,Yes,HDFC BANK LTD,Indirect
401,JAKA,THE JAMMU AND KASHMIR BANK LTD,400051001,JAKA0DEALER,607440,Yes,Yes,Yes,THE JAMMU AND KASHMIR BANK LTD,Direct
402,JALX,THE JANALAXMI CO-OPERATIVE BANK LTD,422373002,YESB0JLCB01,NA,Yes,Yes,Yes,YES BANK,Indirect
403,JAMX,JAMIA CO-OPERATIVE BANK LTD,110410000,UTIB0SJCB01,607263,Yes,Yes,Yes,AXIS BANK,Indirect
404,JANA,JANASEVA SAHAKARI BANK LTD PUNE,411257002,JANA0000001,508551,Yes,Yes,Yes,JANASEVA SAHAKARI BANK LTD PUNE,Direct
405,JANX,THE JANATA CO-OPERATIVE BANK LTD,110361002,HDFC0CTJCBL,607695,Yes,Yes,Yes,HDFC BANK LTD,Indirect
406,JASB,JANASEVA SAHAKARI BANK (BORIVLI) LTD,400804001,JASB0000001,607887,Yes,Yes,Yes,JANASEVA SAHAKARI BANK (BORIVLI) LTD,Direct
407,JASX,JANATHA SEVA COOPERATIVE BANK LTD,560903002,HDFC0CJSCBL,607773,Yes,Yes,Yes,THE KARNATAKA STATE CO OP APEX BANK LTD,Indirect
408,JAUX,"JAIHIND URBAN CO-OP BANK LTD,WAKAD",411861002,SVCB0011002,990263,Yes,Yes,Yes,YES BANK,Indirect
409,JBHX,JILA SAHAKARI KENDRIYA BANK MARYADIT BHIND,477843001,CBIN0MPDCAD,607891,Yes,,Yes,ICICI BANK LTD,Indirect
410,JBIX,JILA SAHKARI KENDRIYA BANK MARYADIT BILASPUR,495562002,UTIB0SJSB01,508700,Yes,,Yes,AXIS BANK,Indirect
411,JBMX,JILA SAHAKARI KENDRIYA BANK MARYADIT SAGAR,NA,CBIN0MPDCBC,607753,Yes,,Yes,ICICI BANK LTD,Indirect
412,JCBX,JANATA CO-OP. BANK LTD MALEGAON.,591857501,HDFC0CJBMLG,607659,Yes,Yes,Yes,HDFC BANK LTD,Indirect
413,JCCB,THE JAIPUR CENTRAL CO-OPERATIVE BANK LTD,302189001,RSCB0022099,508696,Yes,Yes,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
414,JCCX,THE JALANDHAR CENTRAL COOPERATIVE BANK LIMITED,144296001,UTIB0SJAL01,607551,Yes,Yes,Yes,AXIS BANK,Indirect
415,JCDX,THE JAMNAGAR DISTRICT COOP BANK LTD,361801001,GSCB0JMN001,990136,Yes,Yes,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
416,JCHX,JILA SAHAKARI KENDRIYA BANK MYDT CHHATARPUR,417873003,CBIN0MPDCAF,607835,Yes,,Yes,ICICI BANK LTD,Indirect
417,JCPX,THE JANATA CO OP BANK LTD GODHRA,389805001,ICIC00JCBLG,990279,Yes,,Yes,ICICI BANK LTD,Indirect
418,JCUX,JAGRUTI CO-OPERATIVE URBAN BANK LTD,500485258,KKBK0JCUB01,990146,Yes,Yes,Yes,KOTAK MAHINDRA BANK LTD,Indirect
419,JDCX,JALAUN DISTRICT CO-OPERATIVE BANK LTD,285817003,ICIC00JDCBL,607823,Yes,Yes,Yes,ICICI BANK LTD,Indirect
420,JDEX,JILA SAHAKARI KENDRIYA BANK MYDTT DEWAS,455882001,CBIN0MPDCAJ,607725,Yes,,Yes,ICICI BANK LTD,Indirect
421,JGCX,JOGINDRA CENTRAL COOPERATIVE BANK LTD,160211252,YESB0JCCB01,607575,Yes,,Yes,YES BANK,Indirect
422,JGWX,JILA SAHAKARI BANK MYDT. GWALIOR,474479001,CBIN0MPDCAM,607751,Yes,Yes,Yes,ICICI BANK LTD,Indirect
423,JHAX,JHARNESHWAR NAGRIK SAHAKARI BANK MARYADIT,462308002,HDFC0CJNSBM,NA,Yes,Yes,Yes,YES BANK,Indirect
424,JHSX,JILA SAHAKARI KENDRIYA BANK MYDT HOSHANGABAD,461829001,CBIN0MPDCAN,607776,Yes,,Yes,ICICI BANK LTD,Indirect
425,JHUX,JHUNJHUNU KENDDRIYA SAHAKARI BAK LTD,333810002,RSCB0025099,508749,Yes,Yes,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
426,JIBX,JILA SAHAKARI KENDRIYA BANK MARYADIT BALAGHAT,481846001,CBIN0MPDCAB,607829,Yes,,Yes,ICICI BANK LTD,Indirect
427,JICX,JILA SAHAKARI KENDRIYA BANK MARYADIT CHHINDWARA,480845001,CBIN0MPDCAG,607724,Yes,,Yes,ICICI BANK LTD,Indirect
428,JIDX,JILA SAHKARI KENDRIYA BANK MYDT DAMOH,470848051,CBIN0MPDCAH,607833,Yes,,Yes,ICICI BANK LTD,Indirect
429,JIGX,JILA SAHAKARI KENDRIYA BANK MYDT GUNA,473818052,CBIN0MPDCAL,607767,Yes,,Yes,ICICI BANK LTD,Indirect
430,JIKX,JILA SAHAKARI KENDARIYA BANK MYDT KHANDWA,450822101,CBIN0MPDCAR,607722,Yes,,Yes,ICICI BANK LTD,Indirect
431,JIMX,JILA SAHAKARI KENDRIYA BANK MYDT MANDLA,481800002,CBIN0MPDACT,607761,Yes,,Yes,ICICI BANK LTD,Indirect
432,JINX,THE JIND CENTRAL CO OPERATIVE BANK LTD,126840002,UTIB0JIND01,607781,Yes,,Yes,AXIS BANK,Indirect
433,JIOP,JIO PAYMENTS BANK LTD,400767002,JIOP0000001,607884,Yes,,Yes,JIO PAYMENTS BANK LTD,Direct
434,JIOX,JILA SAHAKARI KENDRIYA BANK MYDT SHAHDOL,484869001,CBIN0MPDCBG,607832,Yes,,Yes,ICICI BANK LTD,Indirect
435,JIRX,JILA SAHAKARI KENDRIYA BANK MARYADIT RAJGARH,465814001,CBIN0MPDCAZ,607763,Yes,,Yes,ICICI BANK LTD,Indirect
436,JISX,JILA SAHAKARI KENDRIYA BANK MARYADIT SIDHI,486847051,CBIN0MPDCBJ,607759,Yes,,Yes,ICICI BANK LTD,Indirect
437,JIVX,JIVAJI SAHAKARI BANK LTD ICHALKARANJI,416825201,IBKL0467JSB,990037,Yes,,Yes,IDBI BANK,Indirect
438,JJCX,THE JHAJJAR CENTRAL CO-OP BANK LTD,124844065,UTIB0JCCB01,607788,Yes,,Yes,AXIS BANK,Indirect
439,JJHX,JILA SAHKARI KENDRIYA BANK MYDT JHABUA,457881101,CBIN0MPDCAQ,607775,Yes,,Yes,ICICI BANK LTD,Indirect
440,JJSB,JALGAON JANATA SAHKARI BANK LTD,425507002,JJSB0000001,607158,Yes,Yes,Yes,JALGAON JANATA SAHKARI BANK LTD,Direct
441,JKAX,JILA SAHAKARI KENDRIYA BANK MYDT AMBIKAPUR,497888001,UTIB0SJSA01,508687,Yes,,Yes,AXIS BANK,Indirect
442,JKCX,JANAKALYAN COOP BANK LTD NASHIK,422503002,HDFC0CJCBLN,NA,Yes,Yes,Yes,IDBI BANK,Indirect
443,JKDX,JILA SAHAKARI KENDRIYA BANK MYDT. JABALPUR,482476001,CBIN0MPDCAP,607778,Yes,Yes,Yes,ICICI BANK LTD,Indirect
444,JKEX,JHALAWAR KENDRIYA SAHKARI BANK LTD,326829000,RSCB0024099,508766,Yes,Yes,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
445,JKHX,JILA SAHKARI KENDRIYA BANK MARYADIT KHARGONE,451817001,CBIN0MPDCAS,607765,Yes,,Yes,ICICI BANK LTD,Indirect
446,JKMX,JILA SAHAKARI KENDRIYA BANK MARYADIT JAGDALPUR,494875001,UTIB0SJSJ01,508684,Yes,,Yes,AXIS BANK,Indirect
447,JKRX,JILLA SAHAKARI KENDRIYA BANK MYDT RAISEN,464800006,CBIN0MPDCAY,607875,Yes,,Yes,ICICI BANK LTD,Indirect
448,JKSX,THE J&K STATE CO-OPERATIVE BANK LTD,190654011,UTIB0SJKCB1,607952,Yes,Yes,Yes,AXIS BANK,Indirect
449,JLCX,THE JALORE CENTRAL COOPERATIVE BANK LTD JALORE,343825001,RSCB0023012,508786,Yes,,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
450,JLDX,THE JALNA DISTRICT CENTRAL COOP BANK LTD,NA,IBKL0530JDC,990221,Yes,,Yes,IDBI BANK,Indirect
451,JLNX,THE JALNA PEOPLES COOP BANK LTD JALNA,431808052,HDFC0CJPCBL,990173,Yes,Yes,Yes,HDFC BANK LTD,Indirect
452,JLSX,JILA SAHAKARI KENDRIYA BANK MYDT VIDISHA,464825201,CBIN0MPDCBM,607726,Yes,,Yes,ICICI BANK LTD,Indirect
453,JLWX,THE JHALAWAR NAGRIK SAHAKARI BANK LTD,326704025,HDFC0CJNSBL,NA,Yes,,Yes,HDFC BANK LTD,Indirect
454,JMAX,JILA SAHAKARI KENDRIYA BANK MYDT MANDSAUR,458831001,CBIN0MPDCAU,607727,Yes,,Yes,ICICI BANK LTD,Indirect
455,JMBX,JILA SAHAKARI KENDRIYA BANK MARYADIT BETUL,460551001,CBIN0MPDCAC,607754,Yes,,Yes,ICICI BANK LTD,Indirect
456,JMCX,JALNA MERCHANTS CO-OP BANK LTD.,431807052,HDFC0CJMCBL,607673,Yes,Yes,Yes,HDFC BANK LTD,Indirect
457,JMDX,JILA SAHKARI KENDRIYA BANK MYDT DATIA,NA,CBIN0MPDCAI,607766,Yes,,Yes,ICICI BANK LTD,Indirect
458,JMHX,JAMSHEDPUR URBAN CO-OPERATIVE BANK LTD,831810002,HDFC0CJUCBL,607610,Yes,Yes,Yes,HDFC BANK LTD,Indirect
459,JMMX,THE JAMMU CENTRAL CO-OPERATIVE BANK LTD,180645001,NA,NA,Yes,Yes,Yes,IDBI BANK,Indirect
460,JMOX,JILA SAHAKARI KENDRIYA BANK MYDT MORENA,476838001,CBIN0MPDCAV,607723,Yes,,Yes,ICICI BANK LTD,Indirect
461,JMPX,THE JAMNAGAR PEOPLES COOPERATIVE BANK LTD,361803000,HDFC0CTJPCB,990138,Yes,Yes,Yes,HDFC BANK LTD,Indirect
462,JMSX,JIJAMATA MAHILA SAHAKARI BANK LTD,411174441,HDFC0CJMS99,607331,Yes,Yes,Yes,HDFC BANK LTD,Indirect
463,JMYX,JILA SAHAKARI KENDRIYA BANK MYDT DURG,491840003,UTIB0SJSD01,508686,Yes,,Yes,AXIS BANK,Indirect
464,JNAX,JILA SAHAKARI KENDRIYA BANK MYDT NARSINGHPUR,487479001,CBIN0MPDCAW,607752,Yes,,Yes,ICICI BANK LTD,Indirect
465,JNDX,THE JUNAGADH JILLA SAHAKARI BANK LTD,NA,GSCB0JNDC01,508671,Yes,,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
466,JNSX,JANSEVA NAGARI SAHAKARI BANK MARYDIT,413826501,HDFC0CJNSBB,607616,Yes,,Yes,HDFC BANK LTD,Indirect
467,JODX,THE JODHPUR CENTRAL CO OPERATIVE BANK LTD,342517001,RSCB0026099,508748,Yes,Yes,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
468,JONX,JODHPUR NAGRIK SAHAKARI BANK LIMITED,342514002,HDFC0CJNB08,607685,Yes,Yes,Yes,HDFC BANK LTD,Indirect
469,JOWX,THE JOWAI COOPERATIVE URBAN BANK LTD,793807501,HDFC0CJCUBL,990225,Yes,Yes,Yes,HDFC BANK LTD,Indirect
470,JPAX,JILA SAHAKARI KENDRIYA BANK MYDT PANNA,488836001,CBIN0MPDCAX,607779,Yes,,Yes,ICICI BANK LTD,Indirect
471,JPCB,THE JALGAON PEOPLES CO OP BANK LTD,425740001,JPCB0000001,607134,Yes,Yes,Yes,THE JALGAON PEOPLES CO OP BANK LTD,Direct
472,JPCX,THE JALPAIGURI CENTRAL CO-OPERATIVE BANK LTD,735808002,WBSC0JCCB01,607553,Yes,Yes,Yes,THE WEST BENGAL STATE CO OP BANK LTD,Indirect
473,JRAX,JILA SAHAKARI KENDRIYA BANK MYDT RATLAM,457886003,CBIN0MPDCBA,607777,Yes,,Yes,ICICI BANK LTD,Indirect
474,JRKX,JILA SAHAKARI KENDRIYA BANK MYDT UJJAIN,456540003,CBIN0MPDCBL,607721,Yes,,Yes,ICICI BANK LTD,Indirect
475,JRNX,JILA SAHAKARI KENDRIYA BANK MARYADIT RAJNANDGAON,491853101,UTIB0SJSN01,508699,Yes,,Yes,AXIS BANK,Indirect
476,JRSX,JALORE NAGRIK SAHAKARI BANK LTD,343824002,HDFC0CJALOR,607615,Yes,,Yes,HDFC BANK LTD,Indirect
477,JSAB,THE JAIN SAHAKARI BANK LTD,400073000,IBKL0452JSB,607911,Yes,Yes,Yes,IDBI BANK,Indirect
478,JSAX,JANATA SAHAKARI BANK LTD AJARA,416406002,IBKL0116JSB,NA,Yes,Yes,Yes,IDBI BANK,Indirect
479,JSBL,JANAKALYAN SAHAKARI BANK,400105009,JSBL0000001,607088,Yes,Yes,Yes,JANAKALYAN SAHAKARI BANK,Direct
480,JSBP,JANATA SAHAKARI BANK LTD.,411074002,JSBP0000001,607276,Yes,Yes,Yes,JANATA SAHAKARI BANK LTD.,Direct
481,JSBX,JANASEVA CO-OPERATIVE BANK LTD NASHIK,422510002,YESB0JCBL01,NA,Yes,Yes,Yes,YES BANK,Indirect
482,JSCX,JHARKHAND STATE CO-OPERATIVE BANK LTD,834735002,IBKL0063JCB,607637,Yes,Yes,Yes,IDBI BANK,Indirect
483,JSDX,JILA SAHAKARI KENDRIYA BANK MYDT DHAR,454806001,CBIN0MPDCAK,607741,Yes,,Yes,ICICI BANK LTD,Indirect
484,JSEX,JILA SAHAKARI KENDRIYA BANK MYDT SEHORE,466857054,CBIN0MPDCBE,607828,Yes,,Yes,ICICI BANK LTD,Indirect
485,JSFB,JANA SMALL FINANCE BANK LTD,560788005,JSFB0000001,652268,Yes,Yes,Yes,JANA SMALL FINANCE BANK LTD,Direct
486,JSHX,JILA SAHAKARI KENDRIYA BANK MYDT SHAJAPUR,465826101,CBIN0MPDCBH,607740,Yes,,Yes,ICICI BANK LTD,Indirect
487,JSKX,JILA SAHAKARI KENDRIYA BANK MARYADIT RAIPUR,492522002,UTIB0JSBR01,607889,Yes,Yes,Yes,AXIS BANK,Indirect
488,JSMX,JANATA SAHAKARI BANK LTD AMRAVATI,444819101,SVCB0043002,NA,Yes,,Yes,SVC CO OP BANK LTD,Indirect
489,JSOX,JILA SAHAKARI KENDRIYA BANK MYT SEONI,480856101,CBIN0MPDCBF,607739,Yes,,Yes,ICICI BANK LTD,Indirect
490,JSRX,JILA SAHAKARI KENDRIYA BANK MYDT REWA,486893002,CBIN0MPDCBB,607760,Yes,,Yes,ICICI BANK LTD,Indirect
491,JSTX,JILA SAHAKARI KENDRIYA BANK MYDT SATNA,485802001,CBIN0MPDCBD,607834,Yes,,Yes,ICICI BANK LTD,Indirect
492,JSVX,JILA SAHAKARI KENDRIYA BANK MARYADIT SHIVPURI,473812051,CBIN0MPDCBI,607764,Yes,,Yes,ICICI BANK LTD,Indirect
493,JSWX,JANSEWA URBAN CO-OP BANK LTD,440803002,HDFC0CJUCBI,NA,Yes,Yes,Yes,HDFC BANK LTD,Indirect
494,JTIX,JILA SAHAKARI KENDRIYA BANK MYDT TIKAMGARH,472848001,CBIN0MPDCBK,607762,Yes,,Yes,ICICI BANK LTD,Indirect
495,JTSX,JUGALKISHOR TAPDIYA SHREE MAHESH UCB AURANGABADLTD,431082671,NA,990186,Yes,Yes,Yes,YES BANK,Indirect
496,JUCX,THE JUNAGADH COMMERCIAL CO-OP BANK LTD,380240255,HDFC0CJCCBL,607714,Yes,Yes,Yes,HDFC BANK LTD,Indirect
497,JUSX,JAYSINGPUR UDGAON SAHAKARI BANK LTD JAYSINGPUR,416884501,ICIC00JUSBL,990141,Yes,Yes,Yes,ICICI BANK LTD,Indirect
498,JVCX,JIVAN COMMERCIAL CO OPERATIVE BANK LTD,360443002,YESB0JIVAN1,990061,Yes,Yes,Yes,IDBI BANK,Indirect
499,KAAX,THE KADAPPA DISTRICT CO-OPERATIVE CENTRAL BANK LTD,516819000,APBL0011001,607495,Yes,Yes,Yes,THE ANDHRA PRADESH STATE CO OP BANK LTD,Indirect
500,KACE,THE KANGRA CENTRAL CO-OPERATIVE BANK LTD,176850052,KACE0000001,607292,Yes,Yes,Yes,THE KANGRA CENTRAL CO-OPERATIVE BANK LTD,Direct
501,KACX,THE KACHCHH DISTRICT CENTRAL CO OPERATIVE BANK LTD,370804051,GSCB0KTC001,990035,Yes,,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
502,KAGX,THE KAGAL CO OPERATIVE BANK LTD KAGAL,416877002,IBKL0116KCB,607963,Yes,,Yes,IDBI BANK,Indirect
503,KAIJ,KALLAPPANNA AWADE ICHALKARANJI JANATASAHAKARI BANK,416386201,KAIJ0000001,607249,Yes,Yes,Yes,KALLAPPANNA AWADE ICHALKARANJI JANATASAHAKARI BANK,Direct
504,KALX,THE KALNA TOWN CREDIT COOPERATIVE BANK LTD,713864251,HDFC0CKTCCB,990063,Yes,Yes,Yes,HDFC BANK LTD,Indirect
505,KAMX,KAMALA COOP BANK LTD SOLAPUR,413605002,IBKL0478KCB,NA,Yes,Yes,Yes,IDBI BANK,Indirect
506,KANX,THE KANARA DISTRICT CENTRAL CO-OPERATIVE BANK LTD,581801000,KSCB0016001,607730,Yes,,Yes,THE KARNATAKA STATE CO OP APEX BANK LTD,Indirect
507,KARB,KARNATAKA BANK LTD,561052002,KARB0000001,607270,Yes,Yes,Yes,KARNATAKA BANK LTD,Direct
508,KARX,THE KAIRA DIST CENTRAL CO OPERATIVE BANK LTD,387801001,YESB0KDCC01,607866,Yes,Yes,Yes,YES BANK,Indirect
509,KASX,KASHMIR MERCANTILE CO OPERATIVE BANK LTD,193850101,HDFC0CKAMCO,990042,Yes,Yes,Yes,HDFC BANK LTD,Indirect
510,KATX,THE KATTAPPANA URBAN CO-OPERATIVE BANK LTD,685865203,INDB0KUCB01,NA,Yes,,Yes,HDFC BANK LTD,Indirect
511,KAYX,THE KANYAKUMARI DISTRICT CENTRAL COOPERATIVE BANK,629800002,TNSC0010300,508655,Yes,Yes,Yes,TAMILNADU STATE APEX CO OP BANK LTD,Indirect
512,KBCX,THE KANAKAMAHALAKSHMI CO-OPERATIVE BANK LTD,530528001,IBKL0150KMC,607314,Yes,Yes,Yes,IDBI BANK,Indirect
513,KBHB,KEB HANA BANK,NA,KOEX0000001,NA,Yes,,,KEB HANA BANK,Direct
514,KBNX,THE KHAMBHAT NAGARIK SAHAKARI BANK LTD,388805091,GSCB0UKNSBL,990203,Yes,,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
515,KBSX,KRISHNA BHIMA SAMRUDDHI LOCAL AREA BANK,509663002,HDFC0CKBS01,607257,Yes,Yes,Yes,HDFC BANK LTD,Indirect
516,KCCB,THE KALUPUR COMMERCIAL CO-OPERATIVE BANK,380126001,KCCB0RTGS4C,607278,Yes,Yes,Yes,THE KALUPUR COMMERCIAL CO-OPERATIVE BANK,Direct
517,KCCX,KANCHEEPURAM CENTRAL COOPERATIVE BANK,600091276,TNSC0010200,508734,Yes,Yes,Yes,TAMILNADU STATE APEX CO OP BANK LTD,Indirect
